,0,,,
0,-1,,,
1,-2,,,
2,-3,,616,0
3,-4,,616,1
4,-5,,1058,0
5,-6,,1058,1
6,7,,1514,0
7,6,,1514,1
8,5,,2008,0
9,4,,2008,1
10,3,,2580,0
11,2,,2580,1
12,1,,3102,0
13,14,,3102,1
14,13,,3760,0
15,12,,3760,1
16,25,,4368,0
17,24,,4368,1
18,23,,4926,0
19,22,,4926,1
20,21,,5676,0
21,34,,5676,1
22,33,,,
23,32,,,
24,31,,,
25,30,,,
26,29,,,
27,28,,,
28,27,,,
29,26,,,
30,25,,,
31,24,,,
32,23,,,
33,22,,,
34,21,,,
35,20,,,
36,19,,,
37,18,,,
38,17,,,
39,16,,,
40,15,,,
41,14,,,
42,27,,,
43,26,,,
44,25,,,
45,24,,,
46,23,,,
47,36,,,
48,35,,,
49,34,,,
50,33,,,
51,32,,,
52,31,,,
53,30,,,
54,29,,,
55,28,,,
56,27,,,
57,26,,,
58,25,,,
59,24,,,
60,23,,,
61,22,,,
62,21,,,
63,20,,,
64,19,,,
65,18,,,
66,17,,,
67,16,,,
68,29,,,
69,28,,,
70,27,,,
71,26,,,
72,25,,,
73,24,,,
74,23,,,
75,22,,,
76,21,,,
77,34,,,
78,33,,,
79,32,,,
80,31,,,
81,30,,,
82,29,,,
83,28,,,
84,27,,,
85,26,,,
86,25,,,
87,24,,,
88,37,,,
89,36,,,
90,35,,,
91,34,,,
92,33,,,
93,46,,,
94,45,,,
95,44,,,
96,43,,,
97,42,,,
98,41,,,
99,40,,,
100,39,,,
101,38,,,
102,51,,,
103,50,,,
104,49,,,
105,48,,,
106,47,,,
107,46,,,
108,45,,,
109,44,,,
110,43,,,
111,42,,,
112,41,,,
113,40,,,
114,39,,,
115,38,,,
116,37,,,
117,36,,,
118,35,,,
119,34,,,
120,33,,,
121,32,,,
122,31,,,
123,30,,,
124,29,,,
125,28,,,
126,27,,,
127,26,,,
128,25,,,
129,24,,,
130,23,,,
131,22,,,
132,21,,,
133,20,,,
134,19,,,
135,32,,,
136,31,,,
137,30,,,
138,29,,,
139,28,,,
140,27,,,
141,26,,,
142,25,,,
143,24,,,
144,23,,,
145,22,,,
146,21,,,
147,20,,,
148,19,,,
149,18,,,
150,17,,,
151,16,,,
152,29,,,
153,28,,,
154,27,,,
155,26,,,
156,25,,,
157,24,,,
158,23,,,
159,22,,,
160,21,,,
161,20,,,
162,19,,,
163,18,,,
164,17,,,
165,16,,,
166,15,,,
167,14,,,
168,13,,,
169,12,,,
170,11,,,
171,10,,,
172,9,,,
173,8,,,
174,7,,,
175,6,,,
176,5,,,
177,4,,,
178,3,,,
179,2,,,
180,1,,,
181,14,,,
182,13,,,
183,12,,,
184,11,,,
185,10,,,
186,9,,,
187,8,,,
188,7,,,
189,6,,,
190,5,,,
191,4,,,
192,3,,,
193,2,,,
194,1,,,
195,0,,,
196,-1,,,
197,-2,,,
198,-3,,,
199,-4,,,
200,-5,,,
201,-6,,,
202,-7,,,
203,-8,,,
204,-9,,,
205,-10,,,
206,-11,,,
207,-12,,,
208,-13,,,
209,-14,,,
210,-15,,,
211,-16,,,
212,-17,,,
213,-18,,,
214,-19,,,
215,-20,,,
216,-21,,,
217,-22,,,
218,-23,,,
219,-24,,,
220,-11,,,
221,-12,,,
222,-13,,,
223,0,,,
224,-1,,,
225,-2,,,
226,-3,,,
227,-4,,,
228,-5,,,
229,-6,,,
230,-7,,,
231,-8,,,
232,-9,,,
233,-10,,,
234,-11,,,
235,-12,,,
236,-13,,,
237,-14,,,
238,-1,,,
239,-2,,,
240,-3,,,
241,-4,,,
242,-5,,,
243,-6,,,
244,-7,,,
245,-8,,,
246,-9,,,
247,4,,,
248,3,,,
249,2,,,
250,15,,,
251,14,,,
252,13,,,
253,26,,,
254,25,,,
255,24,,,
256,37,,,
257,36,,,
258,35,,,
259,34,,,
260,33,,,
261,32,,,
262,31,,,
263,30,,,
264,29,,,
265,28,,,
266,27,,,
267,26,,,
268,25,,,
269,24,,,
270,23,,,
271,22,,,
272,21,,,
273,20,,,
274,19,,,
275,18,,,
276,17,,,
277,16,,,
278,15,,,
279,14,,,
280,13,,,
281,12,,,
282,11,,,
283,10,,,
284,9,,,
285,8,,,
286,7,,,
287,6,,,
288,5,,,
289,4,,,
290,3,,,
291,2,,,
292,1,,,
293,0,,,
294,-1,,,
295,-2,,,
296,-3,,,
297,-4,,,
298,-5,,,
299,-6,,,
300,-7,,,
301,-8,,,
302,-9,,,
303,-10,,,
304,-11,,,
305,-12,,,
306,-13,,,
307,-14,,,
308,-15,,,
309,-16,,,
310,-17,,,
311,-18,,,
312,-19,,,
313,-20,,,
314,-21,,,
315,-22,,,
316,-23,,,
317,-24,,,
318,-25,,,
319,-26,,,
320,-27,,,
321,-28,,,
322,-29,,,
323,-30,,,
324,-31,,,
325,-32,,,
326,-33,,,
327,-34,,,
328,-35,,,
329,-36,,,
330,-37,,,
331,-38,,,
332,-39,,,
333,-40,,,
334,-41,,,
335,-42,,,
336,-43,,,
337,-44,,,
338,-45,,,
339,-46,,,
340,-47,,,
341,-48,,,
342,-49,,,
343,-50,,,
344,-51,,,
345,-52,,,
346,-53,,,
347,-54,,,
348,-55,,,
349,-56,,,
350,-57,,,
351,-44,,,
352,-45,,,
353,-46,,,
354,-47,,,
355,-48,,,
356,-49,,,
357,-50,,,
358,-51,,,
359,-52,,,
360,-53,,,
361,-54,,,
362,-55,,,
363,-56,,,
364,-43,,,
365,-44,,,
366,-45,,,
367,-46,,,
368,-47,,,
369,-48,,,
370,-49,,,
371,-50,,,
372,-51,,,
373,-52,,,
374,-53,,,
375,-54,,,
376,-55,,,
377,-56,,,
378,-57,,,
379,-58,,,
380,-59,,,
381,-46,,,
382,-47,,,
383,-48,,,
384,-49,,,
385,-50,,,
386,-51,,,
387,-52,,,
388,-53,,,
389,-54,,,
390,-55,,,
391,-56,,,
392,-57,,,
393,-58,,,
394,-45,,,
395,-46,,,
396,-47,,,
397,-48,,,
398,-49,,,
399,-50,,,
400,-51,,,
401,-52,,,
402,-53,,,
403,-54,,,
404,-55,,,
405,-56,,,
406,-57,,,
407,-58,,,
408,-59,,,
409,-60,,,
410,-61,,,
411,-62,,,
412,-63,,,
413,-64,,,
414,-65,,,
415,-66,,,
416,-67,,,
417,-68,,,
418,-69,,,
419,-70,,,
420,-71,,,
421,-72,,,
422,-73,,,
423,-60,,,
424,-61,,,
425,-62,,,
426,-63,,,
427,-64,,,
428,-65,,,
429,-66,,,
430,-67,,,
431,-68,,,
432,-55,,,
433,-56,,,
434,-57,,,
435,-58,,,
436,-59,,,
437,-60,,,
438,-61,,,
439,-62,,,
440,-63,,,
441,-64,,,
442,-65,,,
443,-66,,,
444,-67,,,
445,-68,,,
446,-69,,,
447,-70,,,
448,-71,,,
449,-72,,,
450,-73,,,
451,-74,,,
452,-75,,,
453,-76,,,
454,-77,,,
455,-78,,,
456,-79,,,
457,-80,,,
458,-81,,,
459,-82,,,
460,-83,,,
461,-84,,,
462,-85,,,
463,-86,,,
464,-87,,,
465,-88,,,
466,-89,,,
467,-90,,,
468,-91,,,
469,-92,,,
470,-93,,,
471,-94,,,
472,-95,,,
473,-96,,,
474,-97,,,
475,-98,,,
476,-99,,,
477,-100,,,
478,-101,,,
479,-102,,,
480,-103,,,
481,-104,,,
482,-105,,,
483,-106,,,
484,-107,,,
485,-108,,,
486,-109,,,
487,-110,,,
488,-111,,,
489,-112,,,
490,-113,,,
491,-114,,,
492,-115,,,
493,-116,,,
494,-117,,,
495,-118,,,
496,-119,,,
497,-120,,,
498,-121,,,
499,-122,,,
500,-123,,,
501,-124,,,
502,-125,,,
503,-126,,,
