,0
0,-1
1,-2
2,-3
3,-4
4,9
5,8
6,7
7,6
8,5
9,4
10,3
11,2
12,1
13,0
14,-1
15,-2
16,-3
17,10
18,9
19,8
20,7
21,6
22,5
23,4
24,3
25,2
26,15
27,14
28,13
29,12
30,11
31,10
32,9
33,8
34,7
35,6
36,5
37,4
38,3
39,2
40,1
41,0
42,-1
43,12
44,11
45,10
46,23
47,22
48,21
49,34
50,33
51,32
52,31
53,30
54,29
55,28
56,27
57,26
58,25
59,24
60,37
61,36
62,35
63,48
64,47
65,46
66,59
67,58
68,57
69,56
70,55
71,68
72,67
73,66
74,65
75,64
76,63
77,62
78,61
79,60
80,59
81,58
82,71
83,70
84,69
85,68
86,67
87,80
88,79
89,78
90,77
91,76
92,75
93,74
94,73
95,72
96,71
97,70
98,69
99,68
100,67
101,66
102,65
103,64
104,63
105,62
106,61
107,60
108,59
109,58
110,57
111,56
112,55
113,54
114,67
115,66
116,65
117,64
118,63
119,62
120,61
121,60
122,59
123,58
124,57
125,56
126,55
127,54
128,53
129,52
130,51
131,50
132,49
133,48
134,47
135,46
136,45
137,44
138,43
139,42
140,41
141,40
142,39
143,38
144,37
145,36
146,35
147,34
148,33
149,32
150,31
151,30
152,29
153,28
154,27
155,26
156,25
157,24
158,23
159,22
160,21
161,20
162,19
163,18
164,17
165,16
166,15
167,14
168,13
169,12
170,11
171,10
172,9
173,8
174,7
175,6
176,5
177,4
178,3
179,2
180,1
181,0
182,-1
183,-2
184,-3
185,-4
186,-5
187,-6
188,-7
189,6
190,5
191,4
192,3
193,2
194,1
195,0
196,-1
197,-2
198,-3
199,-4
200,-5
201,-6
202,-7
203,-8
204,5
205,4
206,3
207,2
208,1
209,0
210,-1
211,-2
212,-3
213,-4
214,-5
215,-6
216,-7
217,-8
218,-9
219,-10
220,-11
221,-12
222,-13
223,-14
224,-15
225,-16
226,-17
227,-18
228,-19
229,-20
230,-21
231,-22
232,-23
233,-24
234,-25
235,-26
236,-27
237,-14
238,-15
239,-16
240,-17
241,-18
242,-19
243,-20
244,-21
245,-22
246,-23
247,-24
248,-25
249,-26
250,-27
251,-28
252,-29
253,-30
254,-31
255,-32
256,-33
257,-34
258,-21
259,-22
260,-23
261,-24
262,-25
263,-26
264,-27
265,-28
266,-29
267,-30
268,-31
269,-32
270,-33
271,-34
272,-35
273,-36
274,-37
275,-38
276,-39
277,-40
278,-41
279,-42
280,-43
281,-44
282,-45
283,-46
284,-47
285,-48
286,-49
287,-50
288,-51
289,-52
290,-53
291,-54
292,-55
293,-56
294,-57
295,-58
296,-59
297,-60
298,-61
299,-62
300,-63
301,-64
302,-65
303,-66
304,-67
305,-68
306,-69
307,-70
308,-71
309,-72
310,-73
311,-74
312,-75
313,-76
314,-77
315,-78
316,-79
317,-80
318,-81
319,-68
320,-69
321,-70
322,-71
323,-72
324,-73
325,-74
326,-75
327,-76
328,-77
329,-78
330,-79
331,-80
332,-81
333,-82
334,-83
335,-84
336,-85
337,-86
338,-87
339,-88
340,-89
341,-90
342,-91
343,-92
344,-79
345,-80
346,-81
347,-68
348,-69
349,-70
350,-71
351,-72
352,-73
353,-74
354,-75
355,-76
356,-77
357,-78
358,-79
359,-80
360,-81
361,-82
362,-83
363,-84
364,-85
365,-86
366,-73
367,-74
368,-75
369,-76
370,-77
371,-78
372,-79
373,-80
374,-81
375,-82
376,-83
377,-84
378,-85
379,-72
380,-73
381,-74
382,-75
383,-76
384,-77
385,-78
386,-79
387,-80
388,-81
389,-82
390,-83
391,-84
392,-85
393,-86
394,-87
395,-88
396,-89
397,-90
398,-91
399,-92
400,-93
401,-94
402,-95
403,-96
404,-97
405,-98
406,-99
407,-100
408,-101
409,-102
410,-103
411,-104
412,-105
413,-106
414,-107
415,-108
416,-109
417,-110
418,-111
419,-112
420,-99
421,-100
422,-101
423,-102
424,-103
425,-90
426,-91
427,-92
428,-93
429,-94
430,-95
431,-96
432,-97
433,-98
434,-99
435,-100
436,-101
437,-102
438,-103
439,-104
440,-105
441,-106
442,-93
443,-94
444,-95
445,-82
446,-83
447,-84
448,-85
449,-86
450,-87
451,-88
452,-89
453,-90
454,-91
455,-92
456,-93
457,-94
458,-81
459,-82
460,-83
461,-84
462,-85
463,-86
464,-87
465,-88
466,-89
467,-90
468,-91
469,-78
470,-79
471,-80
472,-81
473,-82
474,-83
475,-84
476,-85
477,-86
478,-87
479,-88
480,-75
481,-76
482,-77
483,-78
484,-79
485,-80
486,-81
487,-82
488,-83
489,-84
490,-85
491,-86
492,-87
493,-88
494,-89
495,-90
496,-91
497,-92
498,-93
499,-94
500,-95
501,-96
502,-97
503,-98
504,-99
505,-100
506,-101
507,-102
508,-103
509,-104
510,-105
511,-106
512,-107
513,-108
514,-109
515,-110
516,-111
517,-112
518,-113
519,-114
520,-115
521,-116
522,-117
523,-118
524,-119
525,-120
526,-121
527,-122
528,-123
529,-124
530,-125
531,-126
532,-127
533,-128
534,-129
535,-130
536,-131
537,-132
538,-133
539,-120
540,-121
541,-122
542,-123
543,-124
544,-125
545,-126
546,-127
547,-128
548,-129
549,-130
550,-117
551,-118
552,-119
553,-120
554,-121
555,-122
556,-123
557,-124
558,-125
559,-126
560,-127
561,-128
562,-129
563,-130
564,-131
565,-132
566,-133
567,-134
568,-135
569,-136
570,-137
571,-138
572,-139
573,-140
574,-141
575,-142
576,-143
577,-144
578,-145
579,-146
580,-147
581,-148
582,-149
583,-150
584,-151
585,-138
586,-1
587,-2
588,-3
589,-4
590,9
591,8
592,7
593,6
594,5
595,4
596,3
597,16
598,15
599,14
600,13
601,12
602,11
603,10
604,9
605,8
606,7
607,6
608,5
609,4
610,3
611,2
612,1
613,0
614,-1
615,-2
616,-3
617,-4
618,-5
619,-6
620,-7
621,-8
622,-9
623,-10
624,3
625,2
626,1
627,0
628,-1
629,-2
630,-3
631,-4
632,-5
633,-6
634,-7
635,-8
636,-9
637,4
638,3
639,2
640,1
641,0
642,13
643,12
644,11
645,10
646,9
647,8
648,7
649,20
650,19
651,18
652,17
653,16
654,29
655,28
656,27
657,26
658,25
659,24
660,23
661,22
662,21
663,20
664,19
665,32
666,31
667,30
668,29
669,28
670,27
671,26
672,25
673,24
674,37
675,36
676,35
677,34
678,33
679,46
680,45
681,44
682,57
683,56
684,55
685,68
686,67
687,66
688,79
689,78
690,77
691,76
692,75
693,74
694,73
695,72
696,71
697,70
698,69
699,68
700,67
701,66
702,65
703,64
704,63
705,62
706,61
707,60
708,59
709,72
710,71
711,70
712,69
713,68
714,67
715,66
716,79
717,78
718,77
719,76
720,75
721,74
722,73
723,72
724,71
725,70
726,69
727,68
728,67
729,66
730,65
731,64
732,63
733,62
734,61
735,60
736,59
737,72
738,71
739,70
740,69
741,68
742,81
743,80
744,79
745,78
746,77
747,76
748,75
749,74
750,73
751,72
752,71
753,70
754,69
755,68
756,67
757,66
758,65
759,64
760,63
761,62
762,61
763,60
764,59
765,58
766,57
767,56
768,55
769,54
770,53
771,52
772,51
773,50
774,49
775,48
776,47
777,46
778,45
779,44
780,43
781,42
782,41
783,40
784,39
785,38
786,37
787,36
788,35
789,48
790,47
791,46
792,45
793,44
794,43
795,42
796,41
797,40
798,53
799,52
800,51
801,50
802,49
803,48
804,47
805,46
806,45
807,58
808,57
809,56
810,55
811,54
812,67
813,66
814,65
815,64
816,63
817,62
818,61
819,60
820,59
821,58
822,57
823,70
824,69
825,68
826,81
827,80
828,79
829,78
830,77
831,76
832,75
833,88
834,87
835,86
836,99
837,98
838,97
839,96
840,95
841,94
842,93
843,106
844,105
845,104
846,117
847,116
848,115
849,114
850,113
851,112
852,111
853,110
854,109
855,108
856,107
857,106
858,105
